["014368725", 16]
["014372568", 12]
["014372685", 8]
["014372856", 18]
["014375286", 22]
["014375628", 14]
["014375862", 18]
["014376258", 22]
["014376582", 18]
["014376825", 20]
["014378265", 20]
["014378526", 18]
["014378652", 14]
["014382576", 18]
["014382657", 10]
["014382765", 14]
["014385267", 20]
["014385672", 16]
["014385726", 20]
["014386275", 20]
["014386527", 22]
["014386752", 20]
["014387256", 20]
["014387562", 16]
["014387625", 16]
["014523678", 16]
["014523786", 24]
["014523867", 24]
["014526387", 22]
["014526738", 20]
["014526873", 24]
["014527368", 18]
["014527683", 20]
["014527836", 20]
["014528376", 20]
["014528637", 18]
["014528763", 22]
["014532687", 18]
["014532768", 18]
["014532876", 22]
["014536278", 22]
["014536782", 20]
["014536827", 24]
["014537286", 24]
["014537628", 22]
["014537862", 24]
["014538267", 20]
["014538672", 20]
["014538726", 24]
["014562378", 14]
["014562783", 20]
["014562837", 18]
["014563287", 26]
["014563728", 20]
["014563872", 24]
["014567238", 20]
["014567382", 20]
["014567823", 24]
["014568273", 24]
["014568327", 20]
["014568732", 22]
["014572386", 16]
["014572638", 18]
["014572863", 22]
["014573268", 18]
["014573682", 18]
["014573826", 26]
["014576283", 24]
["014576328", 22]
["014576832", 22]
["014578236", 22]
["014578362", 18]
["014578623", 24]
["014582367", 12]
["014582673", 16]
["014582736", 16]
["014583276", 26]
["014583627", 20]
["014583762", 22]
["014586237", 24]
["014586372", 18]
["014586723", 22]
["014587263", 22]
["014587326", 18]
["014587632", 22]
["014623587", 22]
["014623758", 18]
["014623875", 20]
["014625378", 18]
["014625783", 18]
["014625837", 22]
["014627385", 20]
["014627538", 22]
["014627853", 22]
["014628357", 20]
["014628573", 18]
["014628735", 20]
["014632578", 14]
["014632785", 10]
["014632857", 14]
["014635287", 24]
["014635728", 16]
["014635872", 20]
["014637258", 26]
["014637582", 20]
["014637825", 20]
["014638275", 22]
["014638527", 20]
["014638752", 16]
["014652387", 20]
["014652738", 10]
["014652873", 18]
["014653278", 18]
["014653782", 14]
["014653827", 18]
["014657283", 20]
["014657328", 22]
["014657832", 16]
["014658237", 16]
["014658372", 20]
["014658723", 16]
["014672358", 16]
["014672583", 18]
["014672835", 14]
["014673285", 20]
["014673528", 20]
["014673852", 16]
["014675238", 18]
["014675382", 18]
["014675823", 18]
["014678253", 22]
["014678325", 20]
["014678532", 18]
["014682375", 16]
["014682537", 14]
["014682753", 14]
["014683257", 22]
["014683572", 18]
["014683725", 20]
["014685273", 24]
["014685327", 20]
["014685732", 20]
["014687235", 20]
["014687352", 22]
["014687523", 20]
["014723568", 20]
["014723685", 18]
["014723856", 20]
["014725386", 22]
["014725638", 20]
["014725863", 22]
["014726358", 22]
["014726583", 24]
["014726835", 18]
["014728365", 20]
["014728536", 18]
["014728653", 22]
["014732586", 20]
["014732658", 16]
["014732865", 16]
["014735268", 20]
["014735682", 18]
["014735826", 20]
["014736285", 22]
["014736528", 22]
["014736852", 18]
["014738256", 22]
["014738562", 20]
["014738625", 20]
["014752368", 10]
["014752683", 20]
["014752836", 20]
["014753286", 24]
["014753628", 22]
["014753862", 18]
["014756238", 22]
["014756382", 16]
["014756823", 20]
["014758263", 20]
["014758326", 16]
["014758632", 22]
["014762385", 12]
["014762538", 16]
["014762853", 16]
["014763258", 26]
["014763582", 22]
["014763825", 22]
["014765283", 22]
["014765328", 18]
["014765832", 22]
["014768235", 24]
["014768352", 18]
["014768523", 22]
["014782356", 14]
["014782563", 18]
["014782635", 18]
["014783265", 24]
["014783526", 24]
["014783652", 20]
["014785236", 24]
["014785362", 20]
["014785623", 24]
["014786253", 24]
["014786325", 20]
["014786532", 20]
["014823576", 24]
["014823657", 20]
["014823765", 22]
["014825367", 18]
["014825673", 24]
["014825736", 22]
["014826375", 18]
["014826537", 24]
["014826753", 24]
["014827356", 22]
["014827563", 24]
["014827635", 22]
["014832567", 20]
["014832675", 16]
["014832756", 20]
["014835276", 24]
["014835627", 20]
["014835762", 24]
["014836257", 26]
["014836572", 22]
["014836725", 24]
["014837265", 24]
["014837526", 24]
["014837652", 20]
["014852376", 18]
["014852637", 20]
["014852763", 22]
["014853267", 22]
["014853672", 18]
["014853726", 24]
["014856273", 24]
["014856327", 20]
["014856732", 20]
["014857236", 20]
["014857362", 16]
["014857623", 22]
["014862357", 16]
["014862573", 20]
["014862735", 18]
["014863275", 24]
["014863527", 26]
["014863752", 22]
["014865237", 22]
["014865372", 22]
["014865723", 22]
["014867253", 26]
